id,property_type,room_type,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,accommodates,bathrooms,bedrooms,beds,guests_included,extra_people
106290,Apartment,Entire home/apt,Real Bed,$50.00 ,$350.00 ,"$1,500.00 ",$125.00 ,$45.00 ,1,365,t,3,1,1,2,2,30
106331,Apartment,Entire home/apt,Real Bed,$82.00 ,$574.00 ,"$2,460.00 ",$0.00 ,$50.00 ,60,1125,t,4,1,1,2,2,5
107968,Apartment,Entire home/apt,Real Bed,$80.00 ,$560.00 ,"$2,400.00 ",$300.00 ,$35.00 ,3,1125,t,2,1,1,1,1,25
109658,Condominium,Entire home/apt,Real Bed,$60.00 ,$420.00 ,"$1,800.00 ",,$25.00 ,3,60,t,2,1,1,1,2,0
111579,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",$0.00 ,$30.00 ,4,21,t,2,1,1,1,1,15
114763,Apartment,Entire home/apt,Real Bed,$130.00 ,$910.00 ,"$3,900.00 ",$0.00 ,$50.00 ,3,30,t,6,1,3,6,1,0
115576,House,Entire home/apt,Real Bed,$69.00 ,$483.00 ,"$2,070.00 ",,$45.00 ,2,30,t,4,1,2,2,2,15
116832,Apartment,Entire home/apt,Real Bed,$75.00 ,$525.00 ,"$2,250.00 ",$250.00 ,$20.00 ,14,24,t,2,1,2,1,1,0
117649,Apartment,Entire home/apt,Real Bed,$68.00 ,$476.00 ,"$2,040.00 ",,$25.00 ,60,365,t,4,1,1,1,2,20
121888,Apartment,Entire home/apt,Real Bed,$125.00 ,$875.00 ,"$3,750.00 ",,$40.00 ,7,13,t,4,1,1,2,2,10
125349,Guesthouse,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",,$25.00 ,2,730,t,4,1,1,2,1,0
127708,Apartment,Entire home/apt,Real Bed,$89.00 ,$623.00 ,"$2,670.00 ",,$40.00 ,2,365,t,2,1,1,1,2,15
128827,Apartment,Entire home/apt,Real Bed,$59.00 ,$413.00 ,"$1,770.00 ",,$30.00 ,2,1125,t,3,1,1,1,2,20
135097,Apartment,Entire home/apt,Real Bed,$96.00 ,$672.00 ,"$2,880.00 ",$0.00 ,$88.00 ,1,365,t,6,1,3,6,3,9
138955,Apartment,Entire home/apt,Real Bed,$75.00 ,$525.00 ,"$2,250.00 ",,$40.00 ,2,60,t,4,,2,3,2,10
139769,Apartment,Private room,Real Bed,$55.00 ,$385.00 ,"$1,650.00 ",$0.00 ,$0.00 ,2,1120,t,2,1,1,1,1,5
143605,Apartment,Entire home/apt,Real Bed,$55.00 ,$385.00 ,"$1,650.00 ",$200.00 ,$40.00 ,30,180,t,4,1,1,3,2,15
145249,Loft,Private room,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",$85.00 ,$40.00 ,3,60,t,3,1,1,2,1,10
147946,Apartment,Entire home/apt,Real Bed,$31.00 ,$217.00 ,$930.00 ,$250.00 ,$0.00 ,183,1125,t,2,1,1,1,1,0
149849,Apartment,Private room,Real Bed,$40.00 ,$280.00 ,"$1,200.00 ",$100.00 ,$20.00 ,2,365,t,4,1,2,1,2,25
151249,Apartment,Entire home/apt,Real Bed,$81.00 ,$567.00 ,"$2,430.00 ","$1,000.00 ",$80.00 ,1,50,t,4,1,1,2,1,20
153015,Apartment,Private room,Pull-out Sofa,$52.00 ,$364.00 ,"$1,560.00 ",,$20.00 ,3,60,t,2,1,1,1,2,15
155048,Apartment,Entire home/apt,Real Bed,$100.00 ,$700.00 ,"$3,000.00 ","$3,000.00 ",$80.00 ,180,800,t,2,1,2,2,2,100
156010,Apartment,Entire home/apt,Real Bed,$36.00 ,$252.00 ,"$1,080.00 ",$120.00 ,$50.00 ,90,365,t,3,1,1,2,2,12
157546,Apartment,Entire home/apt,Real Bed,$88.00 ,$616.00 ,"$2,640.00 ",,$40.00 ,5,1125,t,4,1,2,2,4,40
157839,Apartment,Private room,Real Bed,$29.00 ,$203.00 ,$870.00 ,$100.00 ,$20.00 ,1,90,t,4,1,1,2,1,15
158890,Apartment,Entire home/apt,Real Bed,$100.00 ,$700.00 ,"$3,000.00 ","$1,000.00 ",$40.00 ,10,60,t,2,1,1,2,6,0
159454,Serviced apartment,Entire home/apt,Real Bed,$161.00 ,"$1,127.00 ","$4,830.00 ","$1,000.00 ",,2,730,t,6,1,2,4,1,0
160517,Townhouse,Entire home/apt,Pull-out Sofa,$65.00 ,$455.00 ,"$1,950.00 ",$500.00 ,$65.00 ,2,180,t,6,2,2,3,2,8
161425,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",$200.00 ,$60.00 ,2,10,t,5,1,2,4,2,25
163287,Apartment,Entire home/apt,Real Bed,$29.00 ,$203.00 ,$870.00 ,$500.00 ,$20.00 ,150,365,t,2,1,1,1,1,15
163411,Apartment,Entire home/apt,Real Bed,$80.00 ,$560.00 ,"$2,400.00 ",$200.00 ,$40.00 ,5,60,t,4,1,2,4,2,15
167189,Condominium,Private room,Real Bed,$49.00 ,$343.00 ,"$1,470.00 ",,$15.00 ,3,15,t,2,1,1,1,2,0
168615,Apartment,Entire home/apt,Real Bed,$49.00 ,$343.00 ,"$1,470.00 ",,$20.00 ,2,1125,t,3,1,1,2,1,10
169603,Apartment,Entire home/apt,Real Bed,$59.00 ,$413.00 ,"$1,770.00 ",$90.00 ,$49.00 ,1,55,t,4,1,1,2,2,20
169907,Apartment,Private room,Real Bed,$30.00 ,$210.00 ,$900.00 ,$150.00 ,$15.00 ,1,730,t,2,1.5,1,1,1,0
170582,Apartment,Private room,Pull-out Sofa,$23.00 ,$161.00 ,$690.00 ,$500.00 ,$0.00 ,5,180,t,1,1,1,1,1,10
170652,Apartment,Private room,Pull-out Sofa,$40.00 ,$280.00 ,"$1,200.00 ",$150.00 ,$50.00 ,5,21,t,2,1,1,1,1,20
170974,Apartment,Private room,Real Bed,$35.00 ,$245.00 ,"$1,050.00 ",,$30.00 ,7,90,t,3,1,1,2,2,18
171746,Apartment,Entire home/apt,Real Bed,$70.00 ,$490.00 ,"$2,100.00 ",$0.00 ,$50.00 ,4,60,t,2,1,1,1,2,30
173153,Apartment,Entire home/apt,Real Bed,$80.00 ,$560.00 ,"$2,400.00 ",$300.00 ,$50.00 ,2,365,t,5,2,2,1,1,20
174391,Apartment,Private room,Real Bed,$42.00 ,$294.00 ,"$1,260.00 ",,$10.00 ,1,730,t,2,1,1,1,1,0
174547,Apartment,Entire home/apt,Real Bed,$96.00 ,$672.00 ,"$2,880.00 ",$500.00 ,$100.00 ,60,365,t,3,1,2,3,2,30
174560,Apartment,Entire home/apt,Real Bed,$75.00 ,$525.00 ,"$2,250.00 ",,$30.00 ,60,365,t,3,1,2,3,2,15
174576,Apartment,Entire home/apt,Real Bed,$96.00 ,$672.00 ,"$2,880.00 ",$500.00 ,$100.00 ,60,365,t,5,1,2,4,2,30
174579,Apartment,Entire home/apt,Real Bed,$76.00 ,$532.00 ,"$2,280.00 ",,$30.00 ,60,365,t,3,1,2,3,2,15
175667,Apartment,Entire home/apt,Real Bed,$46.00 ,$322.00 ,"$1,380.00 ",$200.00 ,$35.00 ,60,1125,t,2,1,1,1,1,10
176342,Apartment,Entire home/apt,Real Bed,$296.00 ,"$2,072.00 ","$8,880.00 ",$500.00 ,$98.00 ,1,1125,t,6,2,3,6,4,69
176355,Apartment,Entire home/apt,Real Bed,$244.00 ,"$1,708.00 ","$7,320.00 ",$500.00 ,$98.00 ,1,1125,t,6,2,2,6,4,69
176396,Apartment,Private room,Real Bed,$20.00 ,$140.00 ,$600.00 ,$0.00 ,$20.00 ,1,61,t,2,2,3,1,1,10
176852,Apartment,Entire home/apt,Real Bed,$50.00 ,$350.00 ,"$1,500.00 ",$350.00 ,$30.00 ,3,730,t,2,1,1,2,2,5
177486,Apartment,Entire home/apt,Real Bed,$59.00 ,$413.00 ,"$1,770.00 ",$250.00 ,$30.00 ,2,1825,t,3,1,1,2,2,19
178347,Apartment,Entire home/apt,Real Bed,$75.00 ,$525.00 ,"$2,250.00 ",$300.00 ,$40.00 ,2,180,t,3,1,1,2,1,25
179102,Apartment,Entire home/apt,Real Bed,$170.00 ,"$1,190.00 ","$5,100.00 ",$200.00 ,$140.00 ,2,365,t,12,1.5,3,15,4,20
180440,Apartment,Entire home/apt,Real Bed,$39.00 ,$273.00 ,"$1,170.00 ",$100.00 ,$30.00 ,60,180,t,1,1,1,1,1,0
181160,Boutique hotel,Private room,Real Bed,$39.00 ,$273.00 ,"$1,170.00 ",,$0.00 ,2,10,t,1,1,1,1,1,0
183206,Apartment,Entire home/apt,Real Bed,$64.00 ,$448.00 ,"$1,920.00 ",$100.00 ,$25.00 ,1,365,t,2,1,1,1,1,10
183918,Apartment,Private room,Real Bed,$35.00 ,$245.00 ,"$1,050.00 ",$100.00 ,$15.00 ,15,60,t,3,1,1,3,1,5
183988,Apartment,Entire home/apt,Real Bed,$100.00 ,$700.00 ,"$3,000.00 ",$200.00 ,$50.00 ,2,365,t,5,1,1,2,3,15
