country,city,neighbourhood_group_cleansed,neighbourhood_cleansed,id
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8263167
Germany,Berlin,Pankow,Prenzlauer Berg Südwest,8264229
Germany,Berlin,Mitte,Moabit Ost,8266080
Germany,Berlin,Neukölln,Reuterstraße,8266315
Germany,Berlin-Wilmersdorf,Charlottenburg-Wilm.,Volkspark Wilmersdorf,8266446
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8266744
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8267002
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8268594
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8269401
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,8270083
Germany,Berlin,Neukölln,Rixdorf,8272013
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8272423
Germany,Berlin,Neukölln,Reuterstraße,8273125
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8278793
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,8279261
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8279802
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8279990
Germany,Berlin,Mitte,Moabit West,8280023
Germany,Berlin,Pankow,Helmholtzplatz,8280619
Germany,Berlin,Mitte,Alexanderplatz,8281156
Germany,Berlin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,8282384
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8282748
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8283330
Germany,Berlin,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,8283708
Germany,Berlin,Mitte,Moabit Ost,8283733
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8284795
Germany,Berlin,Friedrichshain-Kreuzberg,südliche Luisenstadt,8286890
Germany,Berlin,Pankow,Helmholtzplatz,8287240
Germany,Berlin,Neukölln,Rixdorf,8287846
Germany,Berlin,Pankow,Weißensee,8288470
Germany,Berlin,Mitte,Moabit West,8289034
Germany,Berlin,Pankow,Prenzlauer Berg Süd,8289432
Germany,Berlin,Mitte,Moabit West,8291470
Germany,Berlin,Neukölln,Rixdorf,8291565
Germany,Berlin,Mitte,Osloer Straße,8297856
Germany,Berlin,Pankow,Prenzlauer Berg Nordwest,8300176
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8300420
Germany,Berlin,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,8301014
Germany,Berlin,Neukölln,Schillerpromenade,8301757
Germany,Berlin,Neukölln,Rixdorf,8303683
Germany,Berlin,Mitte,Brunnenstr. Süd,8305998
Germany,Berlin,Neukölln,Neuköllner Mitte/Zentrum,8306017
Germany,Berlin,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,8306513
Germany,Berlin,Mitte,Osloer Straße,8312910
Germany,Berlin,Reinickendorf,West 4,8315129
